--- Starting fine-tuning for model_type: t5 ---
Model configured with LoRA:
trainable params: 294912 || all params: 60801536 || trainable%: 0.49
Starting training...
{'loss': '8.364', 'grad_norm': '1.168', 'learning_rate': '0.0001718', 'epoch': '0.1418'}
{'loss': '9.084', 'grad_norm': '1.026', 'learning_rate': '0.0001717', 'epoch': '0.1424'}
{'loss': '9.344', 'grad_norm': '0.9673', 'learning_rate': '0.0001715', 'epoch': '0.143'}
{'loss': '8.948', 'grad_norm': '1.036', 'learning_rate': '0.0001714', 'epoch': '0.1436'}
{'loss': '7.61', 'grad_norm': '1.115', 'learning_rate': '0.0001713', 'epoch': '0.1442'}
{'loss': '8.236', 'grad_norm': '0.8575', 'learning_rate': '0.0001712', 'epoch': '0.1448'}
{'loss': '9.094', 'grad_norm': '1.172', 'learning_rate': '0.000171', 'epoch': '0.1454'}
{'loss': '10.08', 'grad_norm': '1.03', 'learning_rate': '0.0001709', 'epoch': '0.146'}
{'loss': '9.243', 'grad_norm': '1.181', 'learning_rate': '0.0001708', 'epoch': '0.1466'}
{'loss': '8.832', 'grad_norm': '1.102', 'learning_rate': '0.0001707', 'epoch': '0.1472'}
{'loss': '7.717', 'grad_norm': '0.9976', 'learning_rate': '0.0001706', 'epoch': '0.1478'}
{'loss': '7.952', 'grad_norm': '1.047', 'learning_rate': '0.0001704', 'epoch': '0.1484'}
{'loss': '8.219', 'grad_norm': '0.9749', 'learning_rate': '0.0001703', 'epoch': '0.149'}
{'loss': '8.838', 'grad_norm': '1.161', 'learning_rate': '0.0001702', 'epoch': '0.1496'}
{'loss': '7.631', 'grad_norm': '1.311', 'learning_rate': '0.0001701', 'epoch': '0.1502'}
{'loss': '8.847', 'grad_norm': '1.107', 'learning_rate': '0.00017', 'epoch': '0.1509'}
{'loss': '8.269', 'grad_norm': '1.451', 'learning_rate': '0.0001698', 'epoch': '0.1515'}
{'loss': '8.741', 'grad_norm': '1.194', 'learning_rate': '0.0001697', 'epoch': '0.1521'}
{'loss': '7.603', 'grad_norm': '0.8099', 'learning_rate': '0.0001696', 'epoch': '0.1527'}
{'loss': '9.812', 'grad_norm': '0.9926', 'learning_rate': '0.0001695', 'epoch': '0.1533'}
{'loss': '9.03', 'grad_norm': '0.8469', 'learning_rate': '0.0001694', 'epoch': '0.1539'}
{'loss': '8.733', 'grad_norm': '1.019', 'learning_rate': '0.0001692', 'epoch': '0.1545'}
{'loss': '10.27', 'grad_norm': '0.9699', 'learning_rate': '0.0001691', 'epoch': '0.1551'}
{'loss': '9.514', 'grad_norm': '1.941', 'learning_rate': '0.000169', 'epoch': '0.1557'}
{'loss': '8.086', 'grad_norm': '0.9643', 'learning_rate': '0.0001689', 'epoch': '0.1563'}
